16, 200, PA4-D-Debug-SampleReadingsTest.txt 0
  -85.16,   -49.86,    88.37
  -39.29,    -9.74,    34.70
  -80.45,     4.87,    80.74
    8.31,   -24.66,    64.75
   -2.06,   -59.56,    18.15
  -32.19,     4.10,    13.58
   -5.80,   -25.62,   -78.76
   16.78,     9.78,   -42.53
   24.59,     8.24,  -101.90
   13.79,    -1.67,   -58.95
   29.45,    24.27,   -89.52
  -30.53,    20.93,   -81.55
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -50.59,   -20.75,   180.80
   -4.73,    19.38,   127.13
  -45.89,    33.98,   173.17
   42.87,     4.45,   157.18
   32.50,   -30.44,   110.59
    2.37,    33.21,   106.01
  -12.13,   -26.00,   -79.29
   10.97,     9.33,   -43.32
   18.16,     7.72,  -102.77
    7.76,    -2.12,   -59.70
   23.21,    23.73,   -90.45
  -36.70,    20.65,   -81.86
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -50.74,   -15.24,   166.64
   -4.88,    24.88,   112.97
  -46.04,    39.49,   159.01
   42.73,     9.95,   143.02
   32.35,   -24.94,    96.42
    2.23,    38.72,    91.85
   -8.49,   -24.34,   -80.27
   14.01,    11.31,   -44.23
   22.17,     9.20,  -103.54
   11.07,    -0.27,   -60.56
   27.02,    25.32,   -91.27
  -33.03,    22.28,   -83.64
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -83.34,   -32.98,   101.78
  -37.48,     7.15,    48.12
  -78.64,    21.76,    94.15
   10.13,    -7.78,    78.16
   -0.25,   -42.67,    31.57
  -30.37,    20.99,    26.99
   -5.14,   -26.80,   -80.58
   17.65,     8.92,   -44.79
   25.38,     6.66,  -104.15
   14.58,    -2.70,   -61.07
   30.32,    22.80,   -91.96
  -29.66,    19.83,   -83.88
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -74.32,   -26.40,    91.71
  -28.45,    13.73,    38.04
  -69.61,    28.34,    84.08
   19.15,    -1.20,    68.09
    8.78,   -36.09,    21.49
  -21.35,    27.57,    16.92
  -12.33,   -25.34,   -77.69
   10.44,    10.14,   -41.65
   17.70,     8.66,  -101.09
    7.34,    -1.31,   -58.04
   22.60,    24.70,   -88.75
  -37.29,    21.10,   -80.22
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -82.72,   -28.31,    93.35
  -36.86,    11.81,    39.69
  -78.02,    26.42,    85.72
   10.75,    -3.11,    69.74
    0.38,   -38.01,    23.14
  -29.75,    25.65,    18.56
  -10.71,   -26.40,   -79.86
   11.69,     9.48,   -43.99
   19.73,     7.21,  -103.30
    8.77,    -2.17,   -60.27
   24.53,    23.39,   -91.11
  -35.48,    20.08,   -83.33
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -61.93,   -55.46,   117.90
