16, 150, PA5-A-Debug-SampleReadingsTest.txt 6
  -22.52,   -40.11,   122.98
   23.34,     0.02,    69.32
  -17.82,    14.63,   115.35
   70.95,   -14.91,    99.37
   60.57,   -49.80,    52.77
   30.45,    13.85,    48.19
   -8.16,   -30.32,   -80.78
   13.07,     6.23,   -44.87
   24.23,     1.89,  -103.56
   10.77,    -5.88,   -60.92
   28.72,    18.35,   -91.63
  -31.68,    16.53,   -87.02
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -33.70,   -11.74,   140.33
   12.17,    28.39,    86.66
  -29.00,    43.00,   132.70
   59.77,    13.46,   116.71
   49.40,   -21.43,    70.11
   19.27,    42.22,    65.54
   -8.16,   -30.32,   -80.78
   13.07,     6.23,   -44.87
   24.23,     1.89,  -103.56
   10.77,    -5.88,   -60.92
   28.72,    18.35,   -91.63
  -31.68,    16.53,   -87.02
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -33.54,   -22.07,   176.58
   12.32,    18.05,   122.92
  -28.84,    32.66,   168.95
   59.93,     3.12,   152.96
   49.55,   -31.77,   106.37
   19.43,    31.89,   101.79
   -8.16,   -30.32,   -80.78
   13.07,     6.23,   -44.87
   24.23,     1.89,  -103.56
   10.77,    -5.88,   -60.92
   28.72,    18.35,   -91.63
  -31.68,    16.53,   -87.02
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -43.57,   -39.22,   102.86
    2.30,     0.90,    49.19
  -38.86,    15.51,    95.23
   49.90,   -14.03,    79.24
   39.53,   -48.92,    32.64
    9.40,    14.74,    28.07
   -8.16,   -30.32,   -80.78
   13.07,     6.23,   -44.87
   24.23,     1.89,  -103.56
   10.77,    -5.88,   -60.92
   28.72,    18.35,   -91.63
  -31.68,    16.53,   -87.02
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -26.63,   -27.40,   144.32
   19.23,    12.72,    90.65
  -21.93,    27.33,   136.68
   66.84,    -2.21,   120.70
   56.47,   -37.10,    74.10
   26.34,    26.56,    69.52
   -8.16,   -30.32,   -80.78
   13.07,     6.23,   -44.87
   24.23,     1.89,  -103.56
   10.77,    -5.88,   -60.92
   28.72,    18.35,   -91.63
  -31.68,    16.53,   -87.02
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -51.76,   -13.87,   151.27
   -5.90,    26.25,    97.60
  -47.06,    40.86,   143.64
   41.70,    11.32,   127.65
   31.33,   -23.57,    81.05
    1.20,    40.09,    76.48
   -8.16,   -30.32,   -80.78
   13.07,     6.23,   -44.87
   24.23,     1.89,  -103.56
   10.77,    -5.88,   -60.92
   28.72,    18.35,   -91.63
  -31.68,    16.53,   -87.02
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -68.45,   -69.99,   101.76
  -22.58,   -29.87,    48.09
  -63.74,   -15.26,    94.13
   25.02,   -44.80,    78.14
   14.65,   -79.69,    31.54
  -15.48,   -16.03,    26.97
   -8.16,   -30.32,   -80.78
   13.07,     6.23,   -44.87
   24.23,     1.89,  -103.56
   10.77,    -5.88,   -60.92
   28.72,    18.35,   -91.63
  -31.68,    16.53,   -87.02
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -41.79,   -39.13,   102.81
    4.08,     0.99,    49.14
  -37.09,    15.60,    95.18
   51.68,   -13.93,    79.19
   41.31,   -48.83,    32.59
   11.18,    14.83,    28.02
   -8.16,   -30.32,   -80.78
   13.07,     6.23,   -44.87
   24.23,     1.89,  -103.56
   10.77,    -5.88,   -60.92
   28.72,    18.35,   -91.63
  -31.68,    16.53,   -87.02
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
